
[Name]
Meridional Surface Copy 1

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], vapor.Dynamic Viscosity ACA on Meridional Surface Copy 1 [ Pa s ]
0, 8.34459543e-001, -7.90982544e-002, 1.89899996e-001, 1.93579490e-005
1, 8.42280805e-001, -7.98396319e-002, 1.89899996e-001, 1.93412889e-005
2, 8.50102067e-001, -8.05810019e-002, 1.89900011e-001, 1.93384622e-005
3, 8.57923150e-001, -8.13223645e-002, 1.89899996e-001, 1.93711021e-005
4, 8.65744352e-001, -8.20637345e-002, 1.89899996e-001, 1.94077620e-005
5, 8.73565555e-001, -8.28051046e-002, 1.89899996e-001, 1.94418935e-005
6, 8.81386817e-001, -8.35464746e-002, 1.89899996e-001, 1.94730183e-005
7, 8.89207959e-001, -8.42878446e-002, 1.89899996e-001, 1.95011871e-005
8, 8.97029161e-001, -8.50292146e-002, 1.89899996e-001, 1.95290741e-005
9, 9.04850423e-001, -8.57705846e-002, 1.89899996e-001, 1.95704215e-005
10, 9.12671626e-001, -8.65119621e-002, 1.89899996e-001, 1.95971970e-005
11, 8.34459484e-001, -7.90982470e-002, 2.01262459e-001, 1.93454034e-005
12, 8.42456698e-001, -7.98563063e-002, 2.01250926e-001, 1.93298911e-005
13, 8.50453973e-001, -8.06143582e-002, 2.01215670e-001, 1.93294909e-005
14, 8.58451009e-001, -8.13723952e-002, 2.01153457e-001, 1.93609085e-005
15, 8.66447628e-001, -8.21303949e-002, 2.01059222e-001, 1.93944288e-005
16, 8.74443710e-001, -8.28883424e-002, 2.00925410e-001, 1.94311961e-005
17, 8.82438660e-001, -8.36461857e-002, 2.00737029e-001, 1.94676941e-005
18, 8.90431464e-001, -8.44038203e-002, 2.00472131e-001, 1.94998356e-005
19, 8.98419082e-001, -8.51609632e-002, 2.00083375e-001, 1.95326811e-005
20, 9.06391621e-001, -8.59166756e-002, 1.99461877e-001, 1.95942521e-005
21, 9.14308012e-001, -8.66670683e-002, 1.98344260e-001, 1.96381770e-005
22, 8.34459484e-001, -7.90982470e-002, 2.12444127e-001, 1.94378827e-005
23, 8.42643857e-001, -7.98740461e-002, 2.12422013e-001, 1.94060303e-005
24, 8.50827992e-001, -8.06498155e-002, 2.12354138e-001, 1.93782471e-005
25, 8.59011590e-001, -8.14255327e-002, 2.12234408e-001, 1.93882461e-005
26, 8.67193997e-001, -8.22011456e-002, 2.12053716e-001, 1.93961569e-005
27, 8.75374496e-001, -8.29765722e-002, 2.11799234e-001, 1.93982123e-005
28, 8.83551240e-001, -8.37516487e-002, 2.11446479e-001, 1.93983433e-005
29, 8.91721427e-001, -8.45260993e-002, 2.10965782e-001, 1.94007989e-005
30, 8.99879158e-001, -8.52993727e-002, 2.10304946e-001, 1.94159711e-005
31, 9.08012033e-001, -8.60702768e-002, 2.09388614e-001, 1.94776167e-005
