
[Name]
Meridional Surface Copy 7

[Data]
Node Number, X [ m ], Y [ m ], Z [ m ], liquid | vapor.Surface Tension Coefficient ACA on Meridional Surface Copy 7 [ N m^-1 ]
0, 8.34459543e-001, -7.90982544e-002, 1.89899996e-001, 4.85333316e-002
1, 8.42280805e-001, -7.98396319e-002, 1.89899996e-001, 4.85005155e-002
2, 8.50102067e-001, -8.05810019e-002, 1.89900011e-001, 4.84354272e-002
3, 8.57923150e-001, -8.13223645e-002, 1.89899996e-001, 4.83730137e-002
4, 8.65744352e-001, -8.20637345e-002, 1.89899996e-001, 4.83144298e-002
5, 8.73565555e-001, -8.28051046e-002, 1.89899996e-001, 4.82596606e-002
6, 8.81386817e-001, -8.35464746e-002, 1.89899996e-001, 4.82094213e-002
7, 8.89207959e-001, -8.42878446e-002, 1.89899996e-001, 4.81643640e-002
8, 8.97029161e-001, -8.50292146e-002, 1.89899996e-001, 4.81262729e-002
9, 9.04850423e-001, -8.57705846e-002, 1.89899996e-001, 4.81054224e-002
10, 9.12671626e-001, -8.65119621e-002, 1.89899996e-001, 4.81014997e-002
11, 8.34459484e-001, -7.90982470e-002, 2.01262459e-001, 4.85702343e-002
12, 8.42456698e-001, -7.98563063e-002, 2.01250926e-001, 4.85297441e-002
13, 8.50453973e-001, -8.06143582e-002, 2.01215670e-001, 4.84545715e-002
14, 8.58451009e-001, -8.13723952e-002, 2.01153457e-001, 4.83940765e-002
15, 8.66447628e-001, -8.21303949e-002, 2.01059222e-001, 4.83393222e-002
16, 8.74443710e-001, -8.28883424e-002, 2.00925410e-001, 4.82793227e-002
17, 8.82438660e-001, -8.36461857e-002, 2.00737029e-001, 4.82212640e-002
18, 8.90431464e-001, -8.44038203e-002, 2.00472131e-001, 4.81701717e-002
19, 8.98419082e-001, -8.51609632e-002, 2.00083375e-001, 4.81250994e-002
20, 9.06391621e-001, -8.59166756e-002, 1.99461877e-001, 4.80882749e-002
21, 9.14308012e-001, -8.66670683e-002, 1.98344260e-001, 4.80724350e-002
22, 8.34459484e-001, -7.90982470e-002, 2.12444127e-001, 4.84497137e-002
23, 8.42643857e-001, -7.98740461e-002, 2.12422013e-001, 4.84298989e-002
24, 8.50827992e-001, -8.06498155e-002, 2.12354138e-001, 4.83916700e-002
25, 8.59011590e-001, -8.14255327e-002, 2.12234408e-001, 4.83615696e-002
26, 8.67193997e-001, -8.22011456e-002, 2.12053716e-001, 4.83447425e-002
27, 8.75374496e-001, -8.29765722e-002, 2.11799234e-001, 4.83374149e-002
28, 8.83551240e-001, -8.37516487e-002, 2.11446479e-001, 4.83334512e-002
29, 8.91721427e-001, -8.45260993e-002, 2.10965782e-001, 4.83271256e-002
30, 8.99879158e-001, -8.52993727e-002, 2.10304946e-001, 4.83090729e-002
31, 9.08012033e-001, -8.60702768e-002, 2.09388614e-001, 4.82714698e-002
32, 9.16100979e-001, -8.68370384e-002, 2.08142206e-001, 4.82473671e-002
33, 8.34459543e-001, -7.90982544e-002, 2.23476067e-001, 4.83417809e-002
34, 8.42828155e-001, -7.98915178e-002, 2.23445669e-001, 4.83232737e-002
35, 8.51196349e-001, -8.06847364e-002, 2.23352015e-001, 4.82921973e-002
36, 8.59563291e-001, -8.14778358e-002, 2.23187193e-001, 4.82694656e-002
37, 8.67928386e-001, -8.22707638e-002, 2.22939700e-001, 4.82510924e-002
38, 8.76289904e-001, -8.30633417e-002, 2.22594321e-001, 4.82371934e-002
39, 8.84645402e-001, -8.38553533e-002, 2.22123712e-001, 4.82263938e-002
40, 8.92990887e-001, -8.46464187e-002, 2.21500665e-001, 4.82170843e-002
41, 9.01319683e-001, -8.54359120e-002, 2.20684320e-001, 4.82080430e-002
42, 9.09622133e-001, -8.62228870e-002, 2.19631359e-001, 4.81941141e-002
43, 9.17886615e-001, -8.70062932e-002, 2.18312442e-001, 4.81850281e-002
44, 8.34459543e-001, -7.90982544e-002, 2.34379441e-001, 4.84601595e-002
45, 8.43014121e-001, -7.99091458e-002, 2.34343708e-001, 4.84433621e-002
46, 8.51568043e-001, -8.07199627e-002, 2.34233543e-001, 4.84212674e-002
47, 8.60120237e-001, -8.15306306e-002, 2.34039932e-001, 4.84085716e-002
48, 8.68669927e-001, -8.23410451e-002, 2.33750150e-001, 4.83902842e-002
49, 8.77215207e-001, -8.31510574e-002, 2.33348086e-001, 4.83658761e-002
50, 8.85752678e-001, -8.39603171e-002, 2.32806027e-001, 4.83366400e-002
51, 8.94278109e-001, -8.47684443e-002, 2.32100070e-001, 4.83031385e-002
52, 9.02785122e-001, -8.55748281e-002, 2.31197029e-001, 4.82670218e-002
53, 9.11265194e-001, -8.63786489e-002, 2.30067834e-001, 4.82375473e-002
54, 9.19710279e-001, -8.71791542e-002, 2.28698611e-001, 4.82263975e-002
55, 8.34459543e-001, -7.90982544e-002, 2.45168418e-001, 4.86417301e-002
56, 8.43200862e-001, -7.99268410e-002, 2.45130822e-001, 4.86335009e-002
57, 8.51941407e-001, -8.07553604e-002, 2.45014504e-001, 4.86193784e-002
58, 8.60680342e-001, -8.15837234e-002, 2.44810030e-001, 4.86152880e-002
59, 8.69416475e-001, -8.24118108e-002, 2.44503960e-001, 4.86211963e-002
60, 8.78147483e-001, -8.32394212e-002, 2.44079575e-001, 4.86291945e-002
61, 8.86870265e-001, -8.40662569e-002, 2.43508458e-001, 4.86348160e-002
62, 8.95580292e-001, -8.48918706e-002, 2.42766872e-001, 4.86333147e-002
63, 9.04270649e-001, -8.57156292e-002, 2.41822302e-001, 4.86210324e-002
64, 9.12933230e-001, -8.65367427e-002, 2.40648299e-001, 4.86074314e-002
65, 9.21560884e-001, -8.73545632e-002, 2.39238471e-001, 4.86028753e-002
66, 8.34459484e-001, -7.90982470e-002, 2.55846739e-001, 4.86066155e-002
67, 8.43390644e-001, -7.99448416e-002, 2.55810440e-001, 4.86075357e-002
68, 8.52321327e-001, -8.07913691e-002, 2.55698621e-001, 4.86048907e-002
69, 8.61250341e-001, -8.16377401e-002, 2.55501390e-001, 4.86010835e-002
70, 8.70176733e-001, -8.24838728e-002, 2.55205333e-001, 4.85997833e-002
71, 8.79098475e-001, -8.33295733e-002, 2.54792988e-001, 4.85966727e-002
72, 8.88012230e-001, -8.41745138e-002, 2.54234135e-001, 4.85920012e-002
73, 8.96913528e-001, -8.50182474e-002, 2.53501654e-001, 4.85867113e-002
74, 9.05794799e-001, -8.58601108e-002, 2.52556503e-001, 4.85851392e-002
